top - 00:32:23 up  1:09,  1 user,  load average: 19.62, 18.25, 15.87
Tasks: 454 total,   3 running, 451 sleeping,   0 stopped,   0 zombie
%Cpu(s): 61.9 us,  6.0 sy,  0.0 ni, 32.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15911.2 total,   4096.4 free,   7408.0 used,   4406.8 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.   8007.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     94 root      rt   0       0      0      0 S   0.0   0.0   0:00.13 migration/13
     95 root      20   0       0      0      0 S   0.0   0.0   0:00.28 ksoftirqd/13
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/13:0H-events_highpri
     98 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/14
     99 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/14
    100 root      rt   0       0      0      0 S   0.0   0.0   0:00.13 migration/14
    103 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/14:0H-events_highpri
    104 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/15
    105 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/15
    106 root      rt   0       0      0      0 S   0.0   0.0   0:00.13 migration/15
    107 root      20   0       0      0      0 S   0.0   0.0   0:00.28 ksoftirqd/15
    109 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/15:0H-events_highpri
    110 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
    111 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_frag_wq
    112 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
    114 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungtaskd
    115 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
    117 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
